id,host,x,y,height,length,width,ln.size,occupied,total,ln.total,no_grn,no_str,no_dark,no_mal,no_cam,mal,con,conA,conC,pcon_mal,qimm,qimmA,qimmC,qimm_mal,qimmA_mal,qimmC_mal
A101,A,4.5,50.5,130,80,100,6.017033339,0,0,0,0,0,0,0,0,,0.238,0.068,0.17,0.714285714,0.534,0.337,0.613,0.534,0.337,0.613
A102,A,2.25,52.5,50,70,100,5.544068044,0,0,0,0,0,0,0,0,,0.208,0.034,0.173,0.831730769,0.544,0.15,0.622,0.544,0.15,0.622
A103,A,2.25,54,110,150,180,6.472756449,1,1,0.301029996,0,1,0,0,1,0,0.193,0.009,0.184,0.953367876,0.61,0.343,0.623,0.61,0.343,0.623
A104,A,8.25,9.75,160,90,80,6.061452479,0,0,0,0,0,0,0,0,,0.264,0.139,0.125,0.473484848,0.425,0.272,0.595,0.425,0.272,0.595
A105,A,10.75,9,120,130,110,6.234517284,1,1,0.301029996,1,0,0,1,0,1,0.354,0.221,0.132,0.372881356,0.367,0.212,0.627,0.367,0.212,0.627
A106,A,12.5,5.25,130,80,60,5.79518459,1,2,0.477121255,0,2,0,0,2,0,0.185,0.077,0.108,0.583783784,0.487,0.29,0.627,0.487,0.29,0.627
A107,A,12.75,7.75,170,130,100,6.344392274,0,0,0,0,0,0,0,0,,0.343,0.205,0.138,0.402332362,0.389,0.264,0.574,0.389,0.264,0.574
A108,A,16.5,3.75,200,440,330,7.462996612,1,2,0.477121255,0,2,0,0,2,0,0.071,0.047,0.023,0.323943662,0.395,0.329,0.527,0.395,0.329,0.527
A109,A,17.25,8.25,130,130,150,6.403977964,1,2,0.477121255,2,0,0,2,0,1,0.254,0.186,0.067,0.263779528,0.281,0.221,0.448,0.281,0.221,0.448
A110,A,16.25,9,130,90,100,6.068185862,0,0,0,0,0,0,0,0,,0.424,0.308,0.115,0.271226415,0.365,0.331,0.454,0.365,0.331,0.454
A111,A,19.25,10.25,90,40,60,5.334453751,0,0,0,0,0,0,0,0,,0.373,0.336,0.037,0.09919571,0.294,0.281,0.413,0.294,0.281,0.413
A112,A,24.25,8,120,150,240,6.635483747,1,5,0.77815125,1,4,0,1,4,0.2,0.155,0.107,0.047,0.303225806,0.39,0.437,0.282,0.39,0.437,0.282
A113,A,26.25,8.5,170,190,320,7.014352501,1,3,0.602059991,2,1,0,2,1,0.666666667,0.199,0.133,0.066,0.331658291,0.297,0.244,0.404,0.297,0.244,0.404
A114,A,7.25,2,170,100,120,6.309630167,0,0,0,0,0,0,0,0,,0.172,0.127,0.045,0.261627907,0.339,0.22,0.673,0.339,0.22,0.673
A115,A,8.25,0,130,260,220,6.871339381,1,9,1,2,7,0,2,7,0.222222222,0.027,0.006,0.02,0.740740741,0.55,0.161,0.67,0.55,0.161,0.67
A116,A,16.75,11.5,160,130,140,6.464191371,0,0,0,0,0,0,0,0,,0.711,0.64,0.07,0.098452883,0.279,0.257,0.475,0.279,0.257,0.475
A117,A,18.25,11.5,120,40,40,5.283301229,1,1,0.301029996,0,1,0,0,1,0,0.573,0.53,0.043,0.07504363,0.293,0.28,0.455,0.293,0.28,0.455
C1,C,5.75,11.5,230,280,330,7.327399807,1,5,0.77815125,2,3,0,3,2,0.6,0.137,0.066,0.071,0.481751825,0.473,0.248,0.685,0.527,0.752,0.315
C2,C,2,14,50,80,60,5.380211242,1,1,0.301029996,0,1,0,1,0,1,0.074,0.016,0.057,0.216216216,0.562,0.265,0.646,0.438,0.735,0.354
C3,C,2.75,14.75,50,100,30,5.176091259,0,0,0,0,0,0,0,0,,0.102,0.024,0.078,0.235294118,0.409,0.269,0.453,0.591,0.731,0.547
C4,C,2.75,15.75,65,40,55,5.155336037,0,0,0,0,0,0,0,0,,0.085,0.027,0.059,0.317647059,0.441,0.277,0.516,0.559,0.723,0.484
C5,C,4.5,17.25,110,120,100,6.120573931,1,1,0.301029996,1,0,0,0,1,0,0.093,0.065,0.028,0.698924731,0.343,0.293,0.46,0.657,0.707,0.54
C6,C,5.25,16,140,130,80,6.163161375,0,0,0,0,0,0,0,0,,0.139,0.077,0.063,0.553956835,0.435,0.276,0.631,0.565,0.724,0.369
C7,C,7.75,17.5,160,240,220,6.926753905,0,0,0,0,0,0,0,0,,0.245,0.208,0.037,0.848979592,0.352,0.297,0.657,0.648,0.703,0.343
C8,C,11.5,11.5,200,150,100,6.477121255,1,4,0.698970004,3,1,0,1,3,0.25,0.767,0.708,0.06,0.923076923,0.246,0.225,0.491,0.754,0.775,0.509
C9,C,28,12.25,170,220,210,6.895090897,1,3,0.602059991,0,3,0,3,0,1,0.403,0.156,0.247,0.387096774,0.451,0.327,0.529,0.549,0.673,0.471
C10,C,28,14,200,220,200,6.944482672,1,4,0.698970004,2,2,0,2,2,0.5,0.392,0.138,0.255,0.352040816,0.376,0.304,0.415,0.624,0.696,0.585
C11,C,31.25,13.75,350,330,370,7.630783708,1,23,1.380211242,11,11,1,11,11,0.5,0.113,0.05,0.063,0.442477876,0.326,0.24,0.394,0.674,0.76,0.606
C12,C,9.25,24.25,210,250,290,7.182557301,1,3,0.602059991,2,1,0,1,2,0.333333333,0.408,0.287,0.121,0.703431373,0.31,0.176,0.629,0.69,0.824,0.371
C13,C,13,25.5,180,200,210,6.878521796,1,11,1.079181246,7,3,1,3,7,0.3,0.428,0.202,0.226,0.471962617,0.47,0.237,0.678,0.53,0.763,0.322
C14,C,20.5,20.5,150,140,100,6.322219295,1,3,0.602059991,1,2,0,2,1,0.666666667,0.863,0.784,0.079,0.908458864,0.31,0.271,0.688,0.69,0.729,0.312
C15,C,17.75,25,150,200,230,6.838849091,1,14,1.176091259,10,4,0,4,10,0.285714286,0.551,0.336,0.214,0.609800363,0.459,0.318,0.681,0.541,0.682,0.319
C16,C,24.5,19.5,120,90,70,5.878521796,0,0,0,0,0,0,0,0,,0.743,0.593,0.149,0.798115747,0.373,0.308,0.632,0.627,0.692,0.368
C17,C,27,20.75,210,230,330,7.202461071,1,10,1.041392685,7,2,1,2,7,0.222222222,0.42,0.372,0.048,0.885714286,0.374,0.344,0.609,0.626,0.656,0.391
C18,C,31.25,25.5,110,90,80,5.898725182,0,0,0,0,0,0,0,0,,0.132,0.08,0.053,0.606060606,0.421,0.206,0.747,0.579,0.794,0.253
C19,C,30.25,22.75,210,280,350,7.31344537,1,2,0.477121255,2,0,0,0,2,0,0.187,0.108,0.079,0.577540107,0.433,0.275,0.647,0.567,0.725,0.353
C20,C,2.75,30.75,40,76,90,5.437116093,1,3,0.602059991,3,0,0,0,3,0,0.101,0.012,0.089,0.118811881,0.413,0.12,0.453,0.587,0.88,0.547
C21,C,6.5,32.25,180,270,170,6.917085191,1,9,1,4,5,0,5,4,0.555555556,0.236,0.025,0.211,0.105932203,0.454,0.141,0.491,0.546,0.859,0.509
C22,C,7.75,29,140,100,50,5.84509804,0,0,0,0,0,0,0,0,,0.311,0.07,0.241,0.225080386,0.456,0.116,0.554,0.544,0.884,0.446
C23,C,11.5,30,240,250,480,7.459392488,1,14,1.176091259,8,6,0,6,8,0.428571429,0.301,0.078,0.223,0.259136213,0.478,0.208,0.573,0.522,0.792,0.427
C24,C,8.75,31.5,110,150,90,6.171726454,1,1,0.301029996,1,0,0,0,1,0,0.42,0.037,0.383,0.088095238,0.446,0.153,0.474,0.554,0.847,0.526
C25,C,16,27,120,170,200,6.610660163,1,10,1.041392685,8,2,0,2,8,0.2,0.57,0.208,0.363,0.364912281,0.494,0.25,0.634,0.506,0.75,0.366
C26,C,20.75,32.5,160,200,160,6.709269961,1,7,0.903089987,4,3,0,3,4,0.428571429,0.594,0.123,0.47,0.207070707,0.503,0.392,0.532,0.497,0.608,0.468
C27,C,18.25,30.75,160,170,210,6.756788199,1,11,1.079181246,6,5,0,5,6,0.454545455,0.463,0.149,0.314,0.321814255,0.473,0.227,0.59,0.527,0.773,0.41
C28,C,24.75,31,150,150,170,6.582631439,1,12,1.113943352,6,4,2,4,6,0.4,0.425,0.256,0.169,0.602352941,0.508,0.463,0.576,0.492,0.537,0.424
C29,C,7,38.25,140,230,170,6.738304793,1,8,0.954242509,4,4,0,4,4,0.5,0.389,0.166,0.223,0.426735219,0.289,0.155,0.389,0.711,0.845,0.611
C30,C,5,34.25,60,60,60,5.334453751,1,1,0.301029996,0,1,0,1,0,1,0.294,0.025,0.269,0.085034014,0.437,0.143,0.464,0.563,0.857,0.536
C31,C,5.75,33,80,80,110,5.847572659,1,1,0.301029996,1,0,0,0,1,0,0.413,0.022,0.391,0.053268765,0.401,0.143,0.416,0.599,0.857,0.584
C32,C,7.75,34.5,170,350,260,7.189490314,1,4,0.698970004,0,3,1,3,0,1,0.389,0.042,0.347,0.107969152,0.442,0.163,0.476,0.558,0.837,0.524
C33,C,9.5,38,120,210,220,6.743823222,1,7,0.903089987,2,4,1,4,2,0.666666667,0.547,0.157,0.39,0.28702011,0.416,0.189,0.508,0.584,0.811,0.492
C34,C,10,35.25,90,100,70,5.799340549,1,1,0.301029996,0,1,0,1,0,1,0.546,0.058,0.488,0.106227106,0.408,0.161,0.437,0.592,0.839,0.563
C35,C,11,35,130,90,110,6.109578547,1,1,0.301029996,0,1,0,1,0,1,0.592,0.051,0.541,0.086148649,0.45,0.155,0.478,0.55,0.845,0.522
C36,C,14,35.75,240,580,700,7.988737275,1,29,1.477121255,16,9,4,9,16,0.36,0.278,0.035,0.243,0.125899281,0.451,0.169,0.492,0.549,0.831,0.508
C37,C,15.25,33.5,130,200,180,6.670245853,1,2,0.477121255,1,1,0,1,1,0.5,0.602,0.045,0.557,0.074750831,0.518,0.194,0.544,0.482,0.806,0.456
C38,C,17.25,34,140,130,130,6.37401474,0,0,0,0,0,0,0,0,,0.556,0.045,0.511,0.080935252,0.508,0.251,0.53,0.492,0.749,0.47
C39,C,18.75,35,150,130,180,6.545307116,1,1,0.301029996,0,1,0,1,0,1,0.486,0.039,0.447,0.080246914,0.526,0.331,0.543,0.474,0.669,0.457
C40,C,20.75,33.25,160,190,230,6.84460142,1,6,0.84509804,3,1,2,1,3,0.25,0.598,0.101,0.497,0.168896321,0.53,0.405,0.556,0.47,0.595,0.444
C41,C,20.25,38.5,200,250,320,7.204119983,1,9,1,4,4,1,4,4,0.5,0.235,0.013,0.222,0.055319149,0.54,0.38,0.55,0.46,0.62,0.45
